Method,Dimension,Lambda,ARL,h,ARL_observed
ssDMEWMC,10,0.05,100,0.7487523024,91.4
ssDMEWMC,10,0.05,200,0.8435647126,196.2
ssDMEWMC,10,0.05,500,0.9645608919,439.4
ssDMEWMC,10,0.05,1000,1.0121670206,1025.5
ssDMEWMC,10,0.05,2000,1.0843208924,2206.8
ssDMEWMC,10,0.1,100,1.8100943987,84.2
ssDMEWMC,10,0.1,200,1.9296978706,206.8
ssDMEWMC,10,0.1,500,2.1948399246,402.6
ssDMEWMC,10,0.1,1000,2.3129483419,795.8
ssDMEWMC,10,0.1,2000,2.3471730489000002,1303.8
ssDMEWMC,10,0.2,100,4.5164650926,99.8
