,Method,Dimension,Lambda,ARL,h,
538,MEWMA,15,0.8,1000,39.30734171,
539,MEWMA,15,0.8,2000,41.96498837,
540,MEWMA,15,0.9,100,29.88452854,
541,MEWMA,15,0.9,200,32.83,
542,MEWMA,15,0.9,500,36.62983914,
543,MEWMA,15,0.9,1000,39.3385752,
544,MEWMA,15,0.9,2000,41.99833361,
545,MEWMA,15,0.95,100,29.89639219,
546,MEWMA,15,0.95,200,32.85,
547,MEWMA,15,0.95,500,36.64438056,
548,MEWMA,15,0.95,1000,39.35419194,
549,MEWMA,15,0.95,2000,42.01500623,
550,MEWMA,20,0.05,100,32.39,1.253288965
551,MEWMA,20,0.05,200,35.293,1.268619698
552,MEWMA,20,0.05,500,39.031,1.224041145
553,MEWMA,20,0.05,1000,41.724,1.214637128
554,MEWMA,20,0.05,2000,44.297,1.206345316
555,MEWMA,20,0.1,100,34.378,1.24319242
556,MEWMA,20,0.1,200,37.235,1.23992674
557,MEWMA,20,0.1,500,40.806,1.217435408
558,MEWMA,20,0.1,1000,43.36,1.209146682
559,MEWMA,20,0.1,2000,45.778,1.201238553
560,MEWMA,20,0.2,100,36.017,1.235108535
561,MEWMA,20,0.2,200,38.727,1.225925926
562,MEWMA,20,0.2,500,42.086,1.213097743
563,MEWMA,20,0.2,1000,44.483,1.205142099
564,MEWMA,20,0.2,2000,46.785,1.198171434
565,MEWMA,20,0.3,100,35.63412676,
566,MEWMA,20,0.3,200,39.2718,
567,MEWMA,20,0.3,500,43.67719334,
568,MEWMA,20,0.3,1000,46.90707344,
569,MEWMA,20,0.3,2000,50.0785529,
570,MEWMA,20,0.4,100,36.02491532,
571,MEWMA,20,0.4,200,39.6256,
572,MEWMA,20,0.4,500,44.15618774,
573,MEWMA,20,0.4,1000,47.42148895,
574,MEWMA,20,0.4,2000,50.62774906,
575,MEWMA,20,0.5,100,36.22754642,
576,MEWMA,20,0.5,200,39.8086,
577,MEWMA,20,0.5,500,44.40455521,
578,MEWMA,20,0.5,1000,47.68822292,
579,MEWMA,20,0.5,2000,50.91251743,
580,MEWMA,20,0.6,100,36.34333562,
581,MEWMA,20,0.6,200,39.9062,
