Method,Dimension,Lambda,ARL,h
MEWMA,20,0.7,500,44.59970108
MEWMA,20,0.7,1000,47.89779961
MEWMA,20,0.7,2000,51.13626401
MEWMA,20,0.8,100,36.43017752
MEWMA,20,0.8,200,40.0038
MEWMA,20,0.8,500,44.65292268
MEWMA,20,0.8,1000,47.95495689
MEWMA,20,0.8,2000,51.19728581
MEWMA,20,0.9,100,36.45912482
MEWMA,20,0.9,200,40.0526
MEWMA,20,0.9,500,44.68840375
MEWMA,20,0.9,1000,47.99306174
MEWMA,20,0.9,2000,51.237967
MEWMA,20,0.95,100,36.47359847
MEWMA,20,0.95,200,40.077
MEWMA,20,0.95,500,44.70614428
MEWMA,20,0.95,1000,48.01211417
MEWMA,20,0.95,2000,51.2583076
MEWMA,25,0.05,100,39.5158
MEWMA,25,0.05,200,43.05746
MEWMA,25,0.05,500,47.61782
MEWMA,25,0.05,1000,50.90328
MEWMA,25,0.05,2000,54.04234
MEWMA,25,0.1,100,41.94116
MEWMA,25,0.1,200,45.4267
MEWMA,25,0.1,500,49.78332
MEWMA,25,0.1,1000,52.8992
MEWMA,25,0.1,2000,55.84916
MEWMA,25,0.2,100,43.94074
MEWMA,25,0.2,200,47.24694
MEWMA,25,0.2,500,51.34492
MEWMA,25,0.2,1000,54.26926
MEWMA,25,0.2,2000,57.0777
MEWMA,25,0.3,100,43.47363465
MEWMA,25,0.3,200,47.911596
MEWMA,25,0.3,500,53.28617587
MEWMA,25,0.3,1000,57.2266296
MEWMA,25,0.3,2000,61.09583454
MEWMA,25,0.4,100,43.95039668
MEWMA,25,0.4,200,48.343232
MEWMA,25,0.4,500,53.87054905
MEWMA,25,0.4,1000,57.85421652
MEWMA,25,0.4,2000,61.76585385
MEWMA,25,0.5,100,44.19760663
MEWMA,25,0.5,200,48.566492
MEWMA,25,0.5,500,54.17355736
MEWMA,25,0.5,1000,58.17963196
MEWMA,25,0.5,2000,62.11327127
MEWMA,25,0.6,100,44.33886946
MEWMA,25,0.6,200,48.685564
MEWMA,25,0.6,500,54.34670496
MEWMA,25,0.6,1000,58.36558364
MEWMA,25,0.6,2000,62.31179551
MEWMA,25,0.7,100,44.39184302
MEWMA,25,0.7,200,48.7451
